specialites,formation,nb_candidats_voeu,nb_candidats_admis,nb_candidats_acceptes
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']","Licence Sociologie, Démographie",9,7.0,4
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence MASS,15,7.0,1
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences de gestion,0,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",D.E sanitaire,0,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Formations des écoles nationales vétérinaires,0,0.0,0
"['Physique-Chimie', 'Sciences économiques et sociales']",Licence Formation générale aux métiers de l'ingénieur,19,13.0,5
"['Physique-Chimie', 'Sciences économiques et sociales']",Licence Pluri Droit - Sciences éco - AES,1,0.0,0
"['Physique-Chimie', 'Sciences économiques et sociales']",CPGE S,30,7.0,3
"['Physique-Chimie', 'Sciences de la vie et de la terre']","Licence Archéologie, Ethno, Préhistoire, Anthropologie",128,92.0,13
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence LEA,1544,1328.0,254
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence Mathématiques et informatique,4,0.0,0
"['Physique-Chimie', 'Sciences de la vie et de la terre']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",9646,6149.0,1072
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence Sciences de l'éducation,1033,635.0,116
"['Physique-Chimie', ""Sciences de l'ingénieur""]","Licence Archéologie, Ethno, Préhistoire, Anthropologie",2,1.0,1
"['Physique-Chimie', ""Sciences de l'ingénieur""]",Licence Sciences juridiques,29,18.0,9
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",CPGE S,0,0.0,0
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",Licence Sciences et technologies industrielles,162,57.0,21
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",Licence Sciences économiques,702,384.0,78
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",Licence Las,4234,1421.0,467
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",D.E social,281,100.0,82
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Licence LEA,3,1.0,0
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Sciences Po,0,0.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Licence Langues et littératures françaises,3,3.0,1
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Ecoles de Commerce,0,0.0,0
"['Arts', 'Physique-Chimie']",Licence Génie civil,0,0.0,0
"['Arts', 'Physique-Chimie']",Licence Mathématiques et informatique,0,0.0,0
"['Arts', 'Physique-Chimie']",BTS agricole,11,9.0,2
"['Arts', 'Physique-Chimie']",Sciences Po,4,0.0,0
"['Arts', 'Sciences économiques et sociales']","Licence Psychlogie, Sciences cognitives",360,196.0,81
"['Arts', 'Sciences de la vie et de la terre']",Licence Formation générale aux métiers de l'ingénieur,4,2.0,0
"['Arts', ""Sciences de l'ingénieur""]",Licence MASS,0,0.0,0
"['Arts', ""Sciences de l'ingénieur""]","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",0,0.0,0
"['Arts', ""Sciences de l'ingénieur""]","Licence Sciences de la vie, biologie, santé",0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence Physique,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence Pluri Lettres - Sciences du langage - Arts,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Archéologie, Ethno, Préhistoire, Anthropologie",0,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']","Licence Psychlogie, Sciences cognitives",4,2.0,1
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences de gestion,31,7.0,4
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",BUT Production,138,28.0,15
"['Humanités, Littérature et Philosophie', 'Mathématiques']","Licence Electronique, Génie électrique, EEA",0,0.0,0
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Langues et littératures étrangères,110,93.0,16
"['Humanités, Littérature et Philosophie', 'Mathématiques']",DCG,8,4.0,2
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence Sciences de l'éducation,6,4.0,2
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence Sciences économiques,1,1.0,0
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Licence Pluri Sciences,6,2.0,2
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Licence Pluri Sciences humaines et sociales,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Ecoles d'Ingénieurs,3,1.0,1
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Sciences Po,4,1.0,1
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence Langues et littératures françaises,1038,925.0,264
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']","Licence Psychlogie, Sciences cognitives",2160,1255.0,704
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",0,0.0,0
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']","Licence Psychlogie, Sciences cognitives",1164,857.0,495
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Sciences de l'éducation,281,159.0,49
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Ecoles de Commerce,8,5.0,3
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Licence Informatique,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Licence Pluri Langues,0,0.0,0
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Géographie,7,5.0,1
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Formations d'ART,100,27.0,15
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Lettres - Sciences du langage - Arts,4,1.0,1
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",DEUST,143,56.0,15
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Arts,336,249.0,81
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Chimie,102,62.0,17
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences politiques,57,15.0,1
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",BTS agricole,174,120.0,55
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Ensemble des candidats bacheliers,102,87.0,70
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Arts,2,1.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Physique et chimie,0,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]","Licence Sciences de l'univers, de la terre, de l'espace",0,0.0,0
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Sciences de l'information et de la communication,207,104.0,43
"['Arts', 'Mathématiques']","Licence Sciences de la vie, biologie, santé",18,9.0,4
"['Arts', 'Numérique et Sciences Informatiques']",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Arts', ""Sciences de l'ingénieur""]",Licence Mathématiques,0,0.0,0
"['Arts', ""Sciences de l'ingénieur""]",Licence Pluri Lettres - Sciences du langage - Arts,0,0.0,0
"['Arts', ""Sciences de l'ingénieur""]","Licence Sociologie, Démographie",0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Formation générale aux métiers de l'ingénieur,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence MASS,0,0.0,0
"['Biologie-Ecologie', 'Mathématiques']",Licence Sciences religieuses,0,0.0,0
"['Biologie-Ecologie', 'Mathématiques']",CPGE L,2,1.0,1
"['Biologie-Ecologie', 'Mathématiques']",CUPGE,4,0.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Sciences et technologies industrielles,24,14.0,4
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",BTS production,452,155.0,50
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",D.E sanitaire,2333,1074.0,819
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Licence Sciences juridiques,15,8.0,5
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Informatique,1,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",BTS production,0,0.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",Licence MASS,2,2.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Pluri Lettres - Langues - Sciences humaines,6,4.0,1
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Pluri Sciences fondamentales et applications,1,0.0,0
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Licence Formation générale aux métiers de l'ingénieur,0,0.0,0
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences de l'éducation,3,0.0,0
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",BTS agricole,0,0.0,0
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",Licence Mathématiques et informatique,0,0.0,0
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']","Licence Sociologie, Démographie",1666,1404.0,245
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",BTS agricole,375,260.0,120
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",BUT Service,45,21.0,6
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",D.E sanitaire,6,2.0,2
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Génie civil,3,3.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Sciences de l'information et de la communication,6,4.0,1
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Pluri Langues,7,4.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Lettres - Sciences du langage - Arts,0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences humaines et sociales,0,0.0,0
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences de l'éducation,186,104.0,41
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences du langage - Linguistique,187,148.0,29
"['Arts', 'Sciences économiques et sociales']",D.E sanitaire,60,20.0,18
"['Arts', 'Sciences de la vie et de la terre']",Formations d'ART,202,72.0,38
"['Physique-Chimie', 'Biologie-Ecologie']",CPGE ECG,3,2.0,2
"['Physique-Chimie', 'Biologie-Ecologie']",Sciences Po,5,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",CUPGE,0,0.0,0
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Psychlogie, Sciences cognitives",754,387.0,179
"['Arts', 'Mathématiques']","Licence Electronique, Génie électrique, EEA",1,0.0,0
"['Arts', 'Mathématiques']",Licence Mathématiques,116,74.0,20
"['Arts', 'Numérique et Sciences Informatiques']",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Arts', 'Numérique et Sciences Informatiques']",Licence STAPS,15,7.0,5
"['Arts', 'Numérique et Sciences Informatiques']",Licence Sciences et technologies industrielles,6,2.0,2
"['Arts', 'Numérique et Sciences Informatiques']",Licence Sciences juridiques,14,8.0,3
"['Arts', 'Physique-Chimie']",Ecoles d'Ingénieurs,13,4.0,3
"['Arts', 'Physique-Chimie']",Ecoles de Commerce,7,5.0,4
"['Arts', 'Sciences économiques et sociales']",BTS agricole,31,21.0,4
"['Arts', ""Sciences de l'ingénieur""]","Licence Electronique, Génie électrique, EEA",0,0.0,0
"['Arts', ""Sciences de l'ingénieur""]",Licence Mathématiques et informatique,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence Mathématiques et informatique,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Formations des écoles nationales vétérinaires,0,0.0,0
"['Biologie-Ecologie', 'Mathématiques']","Licence Archéologie, Ethno, Préhistoire, Anthropologie",3,2.0,0
"['Biologie-Ecologie', 'Mathématiques']",Licence Histoire,15,13.0,0
"['Biologie-Ecologie', 'Mathématiques']",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Biologie-Ecologie', 'Mathématiques']",Licence Sciences et technologies industrielles,9,6.0,1
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Licence MASS,0,0.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences de l'information et de la communication,0,0.0,0
"['Arts', 'Humanités, Littérature et Philosophie']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",0,0.0,0
"['Arts', 'Humanités, Littérature et Philosophie']",Licence Sciences de gestion,8,2.0,2
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Langues,0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences,0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Ecoles de Commerce,0,0.0,0
"['Arts', 'Mathématiques']",Licence Sciences de l'éducation,51,38.0,19
"['Arts', 'Mathématiques']",BUT Service,134,42.0,17
"['Arts', 'Mathématiques']",Ecoles d'Ingénieurs,33,9.0,5
"['Arts', 'Numérique et Sciences Informatiques']",Licence Histoire,32,26.0,4
"['Arts', 'Numérique et Sciences Informatiques']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",0,0.0,0
"['Arts', 'Numérique et Sciences Informatiques']",Licence Pluri Langues,0,0.0,0
"['Arts', 'Numérique et Sciences Informatiques']",BUT Service,26,6.0,1
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']","Licence Sciences de l'univers, de la terre, de l'espace",0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']","Licence Sciences de la vie, biologie, santé",0,0.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Histoire,51,43.0,14
"['Arts', 'Humanités, Littérature et Philosophie']","Licence Archéologie, Ethno, Préhistoire, Anthropologie",71,35.0,11
"['Arts', ""Littératures, langues et culture de l'antiquité""]",Licence Langues et littératures étrangères,3,2.0,0
"['Arts', ""Littératures, langues et culture de l'antiquité""]",BUT Service,2,1.0,1
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Arts', 'Langues, Littératures et Cultures Etrangères et Régionales']",BTS production,162,42.0,15
"['Arts', 'Mathématiques']","Licence Archéologie, Ethno, Préhistoire, Anthropologie",10,6.0,0
"['Arts', 'Mathématiques']",Licence Pluri Lettres - Langues - Sciences humaines,21,16.0,3
"['Arts', 'Mathématiques']",Licence Pluri Lettres - Sciences du langage - Arts,2,1.0,0
"['Arts', 'Mathématiques']","Licence Psychlogie, Sciences cognitives",133,85.0,28
"['Arts', 'Mathématiques']","Licence Sciences de l'univers, de la terre, de l'espace",5,2.0,0
"['Arts', 'Mathématiques']",Licence Sciences religieuses,2,2.0,0
"['Arts', 'Numérique et Sciences Informatiques']",Autres formations,50,16.0,6
"['Arts', 'Physique-Chimie']",Licence Chimie,23,10.0,2
"['Arts', 'Physique-Chimie']",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Arts', 'Sciences économiques et sociales']",Licence Pluri Sciences économiques - Gestion,262,155.0,41
"['Arts', 'Sciences économiques et sociales']",Licence Sciences de l'information et de la communication,278,131.0,43
"['Arts', 'Sciences économiques et sociales']",Licence Las,150,35.0,5
"['Arts', 'Sciences économiques et sociales']",PASS,12,1.0,0
"['Arts', 'Sciences de la vie et de la terre']",Licence Chimie,21,11.0,4
"['Arts', ""Sciences de l'ingénieur""]",Licence Langues et littératures étrangères,2,2.0,0
"['Arts', ""Sciences de l'ingénieur""]",PASS,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence MASS,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Ecoles d'Ingénieurs,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",DEUST,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Histoire,0,0.0,0
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Mathématiques,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences fondamentales et applications,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",BTS agricole,6,5.0,3
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Langues,77,27.0,9
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",0,0.0,0
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Ensemble des candidats bacheliers,85,79.0,64
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",Ecoles de Commerce,2,2.0,2
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence Mathématiques et informatique,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence Physique,1,0.0,0
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",DCG,66,30.0,10
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence MASS,1,1.0,0
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']",Licence Pluri Sciences économiques - Gestion,36,15.0,4
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",Licence Sciences religieuses,0,0.0,0
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",BUT Service,72,28.0,9
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",Licence Sciences de gestion,75,29.0,10
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']","Licence Sciences de l'univers, de la terre, de l'espace",1,0.0,0
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",Licence Langues et littératures étrangères,23,19.0,9
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",Licence Pluri Sciences,19,11.0,3
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",BTS service,176,83.0,21
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Histoire,15,14.0,6
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Pluri Sciences humaines et sociales,0,0.0,0
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",Licence Sciences du langage - Linguistique,1,1.0,0
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",CUPGE,6,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence LEA,1,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",BTS agricole,0,0.0,0
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",DCG,0,0.0,0
"['Physique-Chimie', 'Sciences économiques et sociales']",Licence Mathématiques,19,11.0,3
"['Physique-Chimie', 'Sciences économiques et sociales']",BUT Service,323,128.0,64
"['Physique-Chimie', 'Sciences économiques et sociales']",CPGE ECG,81,45.0,13
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence Arts,842,582.0,159
"['Physique-Chimie', ""Sciences de l'ingénieur""]",Licence Physique et chimie,53,28.0,7
"['Physique-Chimie', ""Sciences de l'ingénieur""]","Licence Sciences de la vie, biologie, santé",12,5.0,1
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",BUT Service,4,3.0,1
"['Sciences économiques et sociales', 'Sciences de la vie et de la terre']",Licence Pluri Lettres - Sciences du langage - Arts,30,24.0,3
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Licence Sciences de l'information et de la communication,3,2.0,1
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Licence Sciences économiques,16,8.0,4
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Licence Physique et chimie,0,0.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences de l'éducation,0,0.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",PASS,21,6.0,4
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Licence Sciences et technologies industrielles,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Sciences Po,1,0.0,0
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",BUT Service,1171,506.0,200
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Physique et chimie,72,49.0,10
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences de gestion,20,8.0,2
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences religieuses,1,1.0,0
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",BUT Production,210,112.0,57
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Mathématiques et informatique,1,0.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]","Licence Electronique, Génie électrique, EEA",0,0.0,0
"['Sciences de la vie et de la terre', 'Mathématiques']","Licence Sciences de la vie, biologie, santé",10239,6721.0,1938
"['Mathématiques', ""Sciences de l'ingénieur""]","Licence Mécanique, Génie mécanique, Ingénierie mécanique",315,243.0,17
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",Licence MASS,0,0.0,0
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences et technologies industrielles,0,0.0,0
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",BUT Production,1,1.0,1
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",Licence Sciences politiques,2,0.0,0
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",Licence Histoire,34,25.0,6
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",1,1.0,0
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",Licence Sciences économiques,118,45.0,8
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",CPGE L,2,1.0,0
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",DEUST,10,4.0,1
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",80,26.0,7
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",Licence Sciences de gestion,7,5.0,1
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",Licence Sciences de l'information et de la communication,14,8.0,6
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",PASS,77,20.0,9
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",BTS production,112,55.0,20
"['Numérique et Sciences Informatiques', 'Sciences de la vie et de la terre']",Ecoles d'Ingénieurs,28,9.0,5
"['Numérique et Sciences Informatiques', ""Sciences de l'ingénieur""]",BUT Service,53,11.0,3
"['Physique-Chimie', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Sciences,0,0.0,0
"['Physique-Chimie', 'Sciences économiques et sociales']",Licence Sciences de l'information et de la communication,38,19.0,2
"['Physique-Chimie', 'Sciences économiques et sociales']",Licence Sciences politiques,24,5.0,0
"['Physique-Chimie', 'Sciences économiques et sociales']",Ensemble des candidats bacheliers,913,855.0,710
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Licence Sciences politiques,315,79.0,17
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Ecoles d'Ingénieurs,2405,1285.0,719
"['Physique-Chimie', 'Sciences de la vie et de la terre']",Formations des écoles nationales vétérinaires,2837,102.0,95
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Licence STAPS,2,1.0,1
"['Sciences économiques et sociales', ""Littératures, langues et culture de l'antiquité""]",Formations des écoles nationales vétérinaires,0,0.0,0
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Licence Histoire,5,5.0,1
"['Sciences économiques et sociales', ""Sciences de l'ingénieur""]",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Sciences de la vie et de la terre', ""Littératures, langues et culture de l'antiquité""]",Licence Génie civil,0,0.0,0
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Langues et littératures françaises,2,2.0,1
"['Sciences de la vie et de la terre', ""Sciences de l'ingénieur""]",Licence Langues et littératures étrangères,3,3.0,1
"['Biologie-Ecologie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Philosophie, Epistémologie",0,0.0,0
"['Biologie-Ecologie', 'Mathématiques']",Formations des écoles nationales vétérinaires,43,0.0,0
"['Physique-Chimie', 'Biologie-Ecologie']",Licence Arts,18,13.0,6
"['Physique-Chimie', 'Biologie-Ecologie']","Licence Electronique, Génie électrique, EEA",1,1.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Littératures, langues et culture de l'antiquité""]",CPGE L,24,18.0,9
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Langues et littératures françaises,243,182.0,46
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Autres formations,812,280.0,152
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences économiques,1,1.0,0
"['Numérique et Sciences Informatiques', 'Mathématiques']",Ensemble des candidats bacheliers,8757,8343.0,7348
"['Physique-Chimie', 'Mathématiques']",Licence Génie civil,926,732.0,103
"['Physique-Chimie', 'Mathématiques']",Licence Mathématiques,27955,20638.0,2082
"['Physique-Chimie', 'Mathématiques']",Licence Sciences religieuses,12,12.0,0
"['Sciences économiques et sociales', 'Mathématiques']",BUT Production,1603,567.0,218
"['Sciences économiques et sociales', 'Mathématiques']",Formations d'ART,508,167.0,80
"['Sciences de la vie et de la terre', 'Mathématiques']",Licence Histoire,1081,896.0,173
"['Sciences de la vie et de la terre', 'Mathématiques']",PASS,8982,4206.0,2392
"['Mathématiques', ""Sciences de l'ingénieur""]",Licence Physique et chimie,71,41.0,2
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",Licence Géographie,17,16.0,1
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",Licence Sciences du langage - Linguistique,6,5.0,1
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",PASS,8,1.0,1
