specialites,formation,nb_candidats_voeu,nb_candidats_admis,nb_candidats_acceptes
"['Arts', 'Physique-Chimie']",DCG,2,1.0,0
"['Humanités, Littérature et Philosophie', 'Biologie-Ecologie']",Licence Sciences du langage - Linguistique,0,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",Licence Sciences politiques,1,0.0,0
"['Sciences économiques et sociales', 'Biologie-Ecologie']",BTS production,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Licence Formation générale aux métiers de l'ingénieur,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Licence Mathématiques,3,1.0,1
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences de l'éducation,16,11.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences politiques,9,2.0,0
"['Humanités, Littérature et Philosophie', ""Littératures, langues et culture de l'antiquité""]",BUT Service,18,7.0,3
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences du langage - Linguistique,567,483.0,107
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Las,669,149.0,39
"['Humanités, Littérature et Philosophie', 'Langues, Littératures et Cultures Etrangères et Régionales']",CPGE ECG,55,23.0,8
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Informatique,19,14.0,4
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Mathématiques et informatique,2,1.0,1
"['Humanités, Littérature et Philosophie', 'Mathématiques']",Licence Sciences économiques,18,10.0,2
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence Arts,25,20.0,7
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",Licence Histoire,6,5.0,2
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']","Licence Psychlogie, Sciences cognitives",14,8.0,2
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",BUT Production,18,9.0,4
"['Humanités, Littérature et Philosophie', 'Numérique et Sciences Informatiques']",BTS service,23,9.0,3
"['Humanités, Littérature et Philosophie', 'Physique-Chimie']",DCG,0,0.0,0
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence LEA,419,304.0,94
"['Humanités, Littérature et Philosophie', 'Sciences économiques et sociales']",Licence Sciences politiques,326,68.0,18
"['Humanités, Littérature et Philosophie', 'Sciences de la vie et de la terre']","Licence Electronique, Génie électrique, EEA",0,0.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Licence Génie civil,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",Licence LEA,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",BTS production,0,0.0,0
"['Humanités, Littérature et Philosophie', ""Sciences de l'ingénieur""]",CUPGE,1,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Droit - Sciences éco - AES,0,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Littératures, langues et culture de l'antiquité""]",Licence Sciences de gestion,0,0.0,0
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Archéologie, Ethno, Préhistoire, Anthropologie",29,21.0,5
"['Mathématiques', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Mécanique, Génie mécanique, Ingénierie mécanique",7,5.0,2
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Informatique,229,145.0,58
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Sciences de gestion,10,4.0,0
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sciences de l'univers, de la terre, de l'espace",1,0.0,0
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",BUT Production,389,162.0,108
"['Numérique et Sciences Informatiques', 'Langues, Littératures et Cultures Etrangères et Régionales']",Ecoles de Commerce,18,14.0,12
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Mathématiques,24,10.0,2
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Sciences de l'univers, de la terre, de l'espace",10,6.0,1
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",Ecoles d'Ingénieurs,44,14.0,8
"['Physique-Chimie', 'Langues, Littératures et Cultures Etrangères et Régionales']",DCG,10,6.0,2
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']","Licence Electronique, Génie électrique, EEA",0,0.0,0
"['Sciences économiques et sociales', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Las,1615,444.0,91
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Licence Pluri Sciences humaines et sociales,17,3.0,0
"['Sciences de la vie et de la terre', 'Langues, Littératures et Cultures Etrangères et Régionales']",Formations d'ART,196,59.0,28
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence AES,5,3.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence Mathématiques et informatique,0,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence STAPS,12,5.0,2
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",Licence Sciences économiques,1,1.0,1
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",PASS,0,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",BTS service,26,9.0,3
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",CUPGE,1,0.0,0
"['Langues, Littératures et Cultures Etrangères et Régionales', ""Sciences de l'ingénieur""]",DEUST,3,1.0,0
"['Mathématiques', ""Littératures, langues et culture de l'antiquité""]",CPGE L,4,4.0,3
"['Numérique et Sciences Informatiques', 'Mathématiques']",Licence MASS,777,577.0,98
"['Numérique et Sciences Informatiques', 'Mathématiques']",Licence Pluri Lettres - Langues - Sciences humaines,23,15.0,3
"['Numérique et Sciences Informatiques', 'Mathématiques']",Licence Sciences politiques,43,2.0,2
"['Physique-Chimie', 'Mathématiques']","Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers",2119,1208.0,120
"['Physique-Chimie', 'Mathématiques']",Licence Sciences du langage - Linguistique,303,271.0,33
"['Physique-Chimie', 'Mathématiques']",CPGE S,39083,29264.0,16924
"['Sciences économiques et sociales', 'Mathématiques']",Licence Sciences et technologies industrielles,128,73.0,27
"['Sciences économiques et sociales', 'Mathématiques']",DCG,2474,1682.0,585
"['Sciences de la vie et de la terre', 'Mathématiques']",BTS production,2031,979.0,279
"['Mathématiques', ""Sciences de l'ingénieur""]",Licence Mathématiques,1539,919.0,128
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",Licence Histoire,0,0.0,0
"['Numérique et Sciences Informatiques', ""Littératures, langues et culture de l'antiquité""]",Licence Pluri Langues,0,0.0,0
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",Licence Géographie,8,8.0,3
"['Numérique et Sciences Informatiques', 'Physique-Chimie']",Licence Sciences juridiques,36,22.0,11
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",Licence MASS,51,31.0,8
"['Numérique et Sciences Informatiques', 'Sciences économiques et sociales']",CUPGE,6,1.0,1
